province,province_en,property_type,sample_count,average_price,median_price,average_sqm,price_per_sqm,currency,source,last_updated
อุดรธานี,Udon Thani,Townhouse,2,6213279.0,6213279.0,80.4,77279.59,THB,LivingInsider,2026-04-23 15:09:39
ระยอง,Rayong,House,30,37913468.2,3970000.0,192.71,196741.37,THB,LivingInsider,2026-04-23 15:10:03
ระยอง,Rayong,Condo,16,4276250.0,2090000.0,54.42,78583.46,THB,LivingInsider,2026-04-23 15:10:03
ระยอง,Rayong,Land,23,84973717.39,50000000.0,784.82,108271.11,THB,LivingInsider,2026-04-23 15:10:03
ชลบุรี,Chonburi,House,29,3253584.97,222449.0,189.52,17167.75,THB,LivingInsider,2026-04-23 15:10:34
ชลบุรี,Chonburi,Condo,62,2027695.39,207692.0,81.76,24800.87,THB,LivingInsider,2026-04-23 15:10:34
ชลบุรี,Chonburi,Land,4,29456250.0,29456250.0,262.0,112428.44,THB,LivingInsider,2026-04-23 15:10:34
ชลบุรี,Chonburi,Townhouse,6,1860000.0,1490000.0,94.53,19675.6,THB,LivingInsider,2026-04-23 15:10:34
สุรินทร์,Surin,House,18,4392132.44,3500000.0,214.36,20489.94,THB,LivingInsider,2026-04-23 15:10:46
สุรินทร์,Surin,Land,20,33080606.4,14748750.0,254.67,129897.67,THB,LivingInsider,2026-04-23 15:10:46
สุรินทร์,Surin,Townhouse,2,5770695.0,5770695.0,196.0,29442.32,THB,LivingInsider,2026-04-23 15:10:46
บุรีรัมย์,Buriram,House,36,37891717.5,2775050.0,242.18,156462.4,THB,LivingInsider,2026-04-23 15:11:04
บุรีรัมย์,Buriram,Condo,2,1300000.0,1300000.0,116.76,11133.95,THB,LivingInsider,2026-04-23 15:11:04
บุรีรัมย์,Buriram,Land,42,127833733.52,10519200.0,206.15,620089.01,THB,LivingInsider,2026-04-23 15:11:04
พิษณุโลก,Phitsanulok,House,40,9103031.1,3000000.0,285.42,31893.21,THB,LivingInsider,2026-04-23 15:11:29
พิษณุโลก,Phitsanulok,Condo,4,2140000.0,2140000.0,36.16,59173.23,THB,LivingInsider,2026-04-23 15:11:29
พิษณุโลก,Phitsanulok,Land,30,50167766.67,12500000.0,204.73,245046.82,THB,LivingInsider,2026-04-23 15:11:29
พิษณุโลก,Phitsanulok,Townhouse,2,114545.0,114545.0,176.0,650.82,THB,LivingInsider,2026-04-23 15:11:29
เชียงราย,Chiang Rai,House,34,6485700.12,4200000.0,251.97,25739.82,THB,LivingInsider,2026-04-23 15:11:47
เชียงราย,Chiang Rai,Land,26,2507076.92,1974000.0,208.44,12027.55,THB,LivingInsider,2026-04-23 15:11:47
